	ctermfg	ctermbg
Normal	250	16
Character	196	16
Conditional	196	16
Number	196	16
Float	196	16
String	245	16
Boolean	250	16
Constant	252	16
Delimiter	250	16
Identifier	250	16
Keyword	255	16
Statement	255	16
Comment	240	16
SpecialComment	245	16
Operator	255	16
Structure	255	16
Function	255	16
Include	255	16
Tag	196	16
Type	255	16
Typedef	255	16
Todo	255	16
Label	255	16
Title	250	16
Define	255	16
Error	255	88
ErrorMsg	255	124
Cursor	16	245
CursorColumn	16	245
CursorLine	NONE	233
CursorLineNr	245	16
iCursor	16	255
Folded	196	16
WarningMsg	196	16
LineNr	240	16
NonText	240	16
Debug	250	16
Exception	250	16
FoldColumn	250	16
Macro	250	16
ModeMsg	250	16
MoreMsg	250	16
Question	250	16
VertSplit	250	16
DiffText	250	196
DiffAdd	255	16
DiffDelete	240	16
DiffChange	160	255
diffAdded	255	16
diffRemoved	240	16
diffChanged	160	255
diffCommon	255	16
Directory	255	16
PreCondit	255	16
PreProc	255	16
Repeat	255	16
Special	255	16
SpecialChar	255	16
StatusLine	245	16
StatusLineNC	236	16
StorageClass	255	16
SpellBad	250	88
SpellRare	124	16
SpellCap	255	124
SpellLocal	255	124
Search	245	236
IncSearch	255	245
PmenuThumb	232	240
Pmenu	255	240
SignColumn	124	240
Underlined	124	16
MatchParen	16	245
ColorColumn	16	250
PmenuSbar	16	250
PmenuSel	16	250
Visual	16	250
VisualNOS	16	250
SpecialKey	16	255
WildMenu	240	255
rstEmphasis	124	16
